animal_id,name,gender,age,weight,scraped_at,shelter_id,city,state,shelter_name,shelter_profile_url,public_image_url
PAWSCH-158287,Harlow,,,,2026-06-15 20:00:35.927016+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/158287,null
PAWSCH-158200,Drax,,,,2026-06-15 20:00:35.927141+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/158200,null
PAWSCH-158198,Goliath,,,,2026-06-15 20:00:35.927225+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/158198,null
PAWSCH-158197,Cassidy,,,,2026-06-15 20:00:35.927301+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/158197,null
PAWSCH-158102,Valdez,,,,2026-06-15 20:00:35.927375+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/158102,null
PAWSCH-158359,Grover,,,,2026-06-15 20:00:35.927502+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/158359,null
PAWSCH-158273,Lou,,,,2026-06-15 20:00:35.92757+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/158273,null
PAWSCH-158343,Alvin,,,,2026-06-15 20:00:35.927635+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/158343,null
PAWSCH-158203,Amadi,,,,2026-06-15 20:00:35.927698+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/158203,null
PAWSCH-158201,Zena,,,,2026-06-15 20:00:35.927762+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/158201,null
PAWSCH-158199,Tiny,,,,2026-06-15 20:00:35.927826+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/158199,null
PAWSCH-158189,Tiramisu,,,,2026-06-15 20:00:35.92789+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/158189,null
PAWSCH-158098,Linus,,,,2026-06-15 20:00:35.927953+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/158098,null
PAWSCH-158119,Edita,,,,2026-06-15 20:00:35.928217+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/158119,null
PAWSCH-158075,Deja,,,,2026-06-15 20:00:35.928534+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/158075,null
PAWSCH-158029,Lala,,,,2026-06-15 20:00:35.928715+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/158029,null
PAWSCH-158015,Jalene,,,,2026-06-15 20:00:35.928785+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/158015,null
PAWSCH-157874,Culver,,,,2026-06-15 20:00:35.928853+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/157874,null
PAWSCH-157819,Muffin,,,,2026-06-15 20:00:35.928918+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/157819,null
PAWSCH-157739,Dixie,,,,2026-06-15 20:00:35.928984+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/157739,null
PAWSCH-157643,Denver,,,,2026-06-15 20:00:35.929058+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/157643,null
PAWSCH-157647,Banksy,,,,2026-06-15 20:00:35.929121+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/157647,null
PAWSCH-157395,Garnet,,,,2026-06-15 20:00:35.929182+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/157395,null
PAWSCH-157289,Visconti,,,,2026-06-15 20:00:35.929247+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/157289,null
PAWSCH-157399,Ferrari,,,,2026-06-15 20:00:35.929309+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/157399,null
PAWSCH-157400,Ferrari,,,,2026-06-15 20:00:35.929373+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/157400,null
PAWSCH-157437,Dior,,,,2026-06-15 20:00:35.929445+00,PAWSCH,Chicago,IL,PAWS Chicago,https://www.pawschicago.org/pet-available-for-adoption/showdog/157437,null
