animal_id,source_record_hash,dog_name,age_summary,weight_summary,breed_or_description,sex,shelter_name,location_detail,adoption_url,backstory_summary,important_facts_jsonb,risk_flags_jsonb,unknowns_jsonb,strengths_jsonb,challenges_jsonb,ideal_home_jsonb,management_notes_jsonb,other_animals_notes,people_notes,containment_notes,medical_notes,adoption_process_notes,evidence_jsonb,schema_version,extraction_model,extraction_params_jsonb,created_at,updated_at,intro_summary,age_bucket,weight_class,altered_status,info_refreshed_at
HSSA-47888033,c8c5215a7b4dac82562ee4aa007c1e8c6f0371c044a9f5954b805004ff9c9af8,Dusty,3 yr,52 lbs,Unknown,Male,Humane Society of Southern Arizona,Foster home,https://www.adoptapet.com/pet/47888033,Dusty came to the shelter as a transfer and has shown a lot of love since arriving.,"[""3 years old"",""Currently in a foster home"",""Loves cozy naps and friendly faces""]",[],[],"[""Gentle soul"",""Affectionate"",""Enjoys outdoor activities""]",[],"[""Loving home"",""Access to outdoor space""]",[],null,null,null,null,Contact foster care department to meet Dusty.,"[""3-year-old sweetheart"",""currently being cared for in a loving foster home"",""enjoys the simple things—cozy naps, friendly faces, and a good sniff around the yard""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-04 14:10:27.211925+00,2026-06-15 06:02:57.941709+00,"Dusty is a 3-year-old sweetheart with a gentle soul and a wag that never quits. He enjoys cozy naps, friendly faces, and a good sniff around the yard. Dusty is currently in a loving foster home and is ready for a fresh start. If you are interested in meeting him, please contact the foster care department.",Adult (3-7yrs),Medium (25-60lbs),N/A,2026-06-14 20:53:29.33549+00
WWLA-699e38ffb058784bd93e6818,ea3793f8fcf4de4e2fe422b023201f27cbb36834cb224fc5bdbc48fdb209c1e4,Helga,4 yr,39 lbs,English Bulldog,Female,Wags & Walks LA,"Los Angeles, CA",https://www.wagsandwalks.org/available-dogs-la/p/helga,Helga was surrendered into care by her former owner who could not manage her and over 20 other dogs.,"[""4 years old"",""39 lbs"",""English Bulldog"",""Social with people and dogs"",""Fully potty-trained"",""Crate-trained"",""Walks beautifully on a leash""]",[],[],"[""Confident"",""Spunky"",""Well-behaved"",""Affectionate""]",[],"[""Home with limited stairs"",""Adopters who embrace her mellow personality""]",[],Helga enjoys spending time with other dogs.,Helga is polite and well-behaved with people and approaches strangers for pets.,N/A,N/A,Apply to Adopt at Wags & Walks LA,"[""This 4-year-old, 39-lb English Bulldog is a confident, spunky gal"",""Helga was surrendered into our care by her former owner"",""She is polite and well-behaved with people and enjoys spending time with other dogs"",""This smart pup is fully potty-trained, does well in her crate, and walks beautifully on a leash""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-09 07:33:08.12951+00,2026-06-15 11:01:16.315806+00,"Helga is a confident and spunky 4-year-old English Bulldog weighing 39 lbs. She was surrendered by her former owner due to the inability to care for her and over 20 other dogs. Now in the shelter, Helga is ready to find her forever home. She is social, enjoys attention from people, and is well-behaved with other dogs. Helga loves to nap and is fully potty-trained, crate-trained, and walks well on a leash.",Adult (3-7yrs),Medium (25-60lbs),N/A,2026-06-15 08:01:50.581346+00
NYCACC-252942,7a9f98b4103c5c2682b8a5e918fe1e42ec7ab9f1fe004ba4ef4003484b3e43b4,Simba,3 yr,56 lbs,Unknown,Male,Animal Care Centers of NYC,In Foster,https://nycacc.app/#/browse/252942,"Simba was taken in by the shelter on April 25, 2026, and has been in care for 50 days. His history is largely unknown, and he is currently in a foster home.","[""Crate-trained"",""Knows tricks (sit, down, paw)"",""Prefers calm surroundings""]","[""Excitable and energetic"",""Needs slow introductions to new people""]","[""History is a mystery"",""Not much is known about him yet""]","[""Loyal companion"",""Enjoys snuggling"",""Friendly with people""]","[""Needs positive outlets for energy""]","[""Calm and quieter home"",""Low dog areas for walks""]","[""Would do best in a home without very tiny humans"",""Could be open to older human children once he meets them""]",Sometimes feels compelled to give his best lion impression to other dogs he sees on walks.,Friendly with humans and enjoys getting pets and snuggles.,N/A,N/A,N/A,"[""Currently in foster care"",""Crate-trained and knows tricks"",""Needs slow introductions to new people"",""Excitable and energetic""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-06 07:40:02.184347+00,2026-06-15 07:33:55.886899+00,"Simba is a male dog currently in foster care. He is looking for a calm and quieter home where he can be a loyal companion. Simba enjoys being by your side, whether it's napping next to your desk or snuggling on the couch. He is crate-trained and knows several commands. Simba is friendly with people and prefers low dog areas during walks.",Adult (3-7yrs),Medium (25-60lbs),N/A,2026-06-13 22:46:54.937112+00
NYCACC-245382,c7fba54375fc607c8526a867b276f6962683663142dc4589c242ce0ef2633969,Bowie,3 yr,60 lbs,Unknown,Male,Animal Care Centers of NYC,"Queens, Room: 118 - Dog Adoptions B",https://nycacc.app/#/browse/245382,"Bowie was found as a stray and has been in care since January 10, 2026.","[""Bowie is a male dog."",""He is 3 years old."",""He weighs 60.25 lbs."",""Bowie is treat-motivated and affectionate."",""He is part of the Shelter Scholar program.""]","[""Bowie has shown discomfort around other dogs in some introductions."",""He prefers not to share valued items like food, toys, or bedding."",""Bowie would do best in a home without children under 13.""]",[],"[""Bowie walks nicely on leash."",""He is generally calm in low-distraction environments."",""He responds well to treats and gentle guidance during training.""]","[""Bowie is actively working on resource guarding.""]","[""Bowie would thrive in a quiet, adult-only home."",""He will benefit from structure, consistency, and continued positive reinforcement training."",""A low-traffic home where he can relax and feel secure will help him do his best.""]","[""Bowie does best when he can approach at his own pace and have a calm, predictable routine.""]",Bowie has shown discomfort around other dogs and may do best as the only pet in the home.,Bowie is affectionate and people-oriented but can be cautious in unfamiliar environments.,Bowie walks nicely on leash and is generally calm in low-distraction environments.,N/A,N/A,"[""Bowie is a sweet, thoughtful boy who was found as a stray."",""He is very treat-motivated and shines brightest when he feels safe."",""Bowie is part of our Shelter Scholar program, where he is working on resource guarding."",""He would thrive in a quiet, adult-only home.""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-06 05:30:16.694504+00,2026-06-15 08:02:48.172679+00,"Bowie is a sweet, thoughtful boy who was found as a stray and is still learning to feel comfortable in new situations. He is very treat-motivated and shines brightest when he feels safe and understands what is being asked of him. Bowie is part of our Shelter Scholar program, where he is working on resource guarding and building confidence through positive reinforcement and structured support. He is just waiting for the right home to help him hit all the right notes.",Young (1-3yrs),Large (60+lbs),N/A,2026-06-13 20:53:53.856286+00
PAWSCH-157395,8757a7a9e5233887def54252d84e40fddacc444146cbad67e921e5b9907fc798,Garnet,6 mo,43 lbs,Mixed Breed (Medium),N/A,PAWS Chicago,Lincoln Park Adoption Center,https://www.pawschicago.org/pet-available-for-adoption/showdog/157395,Garnet is a young dog who is learning to navigate the world. She is looking for a patient family to help her acquire more skills and adjust to her environment.,"[""Available for Adoption"",""Microchipped"",""Up-to-date shots based on age and arrival date""]",[],"[""Cats: UNKNOWN""]","[""Smart"",""Energetic"",""All-Star personality""]","[""Needs time to adjust to new environments""]","[""Quiet, low dog traffic neighborhood"",""Family with time and patience for training"",""Private entrance to home""]","[""Can be home alone for four to six hours. A dogwalker or daycare are great options.""]",,Garnet will do best in a home with children aged 5 and up.,Garnet will do best in a building with a private entrance to her home.,,"To adopt Garnet, complete the ComPETibility Quiz, then fill out the Adoption Application and schedule an appointment at the Lincoln Park Adoption Center.","[""Garnet is a gorgeous, young and energetic girl"",""Garnet hopes for a patient family with time and patience as she works to acquire more skills."",""I’ll do best in a home with children aged 5 and up."",""I can be home alone for four to six hours. A dogwalker or daycare are great options!"",""I’ll do best in a building with a private entrance to my home.""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-15 00:30:45.400426+00,2026-06-15 00:30:45.400426+00,"Garnet is a gorgeous, young and energetic girl who’s ready to share her All-Star personality with her people! She’s pretty smart and has already learned many things. As a young dog, the exciting sights and sounds of the world are still quite new and sometimes a bit overwhelming. Garnet hopes for a patient family with time and patience as she works to acquire more skills.",Puppy (<1yr),Medium (25-60lbs),Spayed,2026-06-15 00:20:22.975364+00
NYCACC-213226,9f80a4dd72b40711a0b70124c77cad486e63972945042418381b3adf5f3e2b56,Cookie,5 yr,45 lbs,Unknown,Female,Animal Care Centers of NYC,In Foster,https://nycacc.app/#/browse/213226,Cookie was brought to the shelter with her sister Nala. She has spent a significant amount of time in her crate or the yard before entering foster care.,"[""Cookie is 5 years old."",""Cookie weighs 45.4 lbs."",""Cookie is currently in foster care."",""Cookie prefers to be the only dog in the household.""]","[""Does not always like to share food, toys, or bedding with other animals.""]",[],"[""Affectionate and sweet with people and kids."",""Playful and energetic."",""Clever and food-motivated.""]","[""Needs slow introductions to new people and places.""]","[""Best in a home with only adult humans."",""Would do best as a solo dog.""]","[""Cookie prefers to call the shots and enjoys coming to you when she's ready for pets.""]","Cookie does not always like to share her food, toys, or bedding with other animals.","Cookie is affectionate and enjoys cuddling with people, but she may need slow introductions to new people.",N/A,N/A,N/A,"[""\""I prefer to call the shots and enjoy coming to you when I'm ready for pets.\"""",""\""I would appreciate slow introductions to new people and places to help me feel safe.\"""",""\""I don't always like to share my food, toys or bedding with other animals.\"""",""\""Cookie is best as a solo dog.\""""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-05 21:11:04.728481+00,2026-06-15 07:34:13.554586+00,"Cookie is a sweet and affectionate 5-year-old female dog currently in foster care. She enjoys the company of people and kids, often seeking cuddles and playtime. While she has a playful side, she also appreciates relaxation and napping. Cookie is best suited for a home with only adult humans and prefers to be the only dog in the household.",Adult (3-7yrs),Medium (25-60lbs),N/A,2026-06-14 17:02:58.480995+00
WWLA-69e165118dc2251504f4970a,e0cf9525f5387e2dcbcb623147f389670395d17ab5b39a1c2341d36a37377ba8,Picasso,2 yr,19 lbs,Poodle Mix,Male,Wags & Walks LA,Foster home,https://www.wagsandwalks.org/available-dogs-la/p/picasso,Picasso was surrendered to a local shelter with a fractured femur. He underwent surgery to repair the fracture and began his healing journey in the shelter. He is currently in a foster home continuing his recovery.,"[""2 years old"",""19 lbs"",""Poodle mix"",""Currently healing from a fractured femur""]",[],"[""House-trained status unknown"",""Crate-trained status unknown"",""Cat-friendly status unknown"",""Dog-friendly status unknown"",""Kid-friendly status unknown"",""Off-leash safety unknown""]","[""Gentle"",""Affectionate"",""Loyal""]","[""Shy with new people"",""Learning household basics"",""Learning leash manners""]","[""Adopters who allow him to open up at his own pace"",""Provide care and comfort""]",[],null,Can be shy meeting new people but greets them with tail wags and asks for pets.,null,Recovering from surgery for a fractured femur.,Apply to adopt at the provided link.,"[""\""surrendered to a local shelter with a fractured femur\"""",""\""underwent surgery to repair the fracture\"""",""\""continuing to heal in his cozy foster home\"""",""\""expected to make a full recovery\"""",""\""very affectionate\"""",""\""can be a bit shy meeting new people\"""",""\""working on learning his household basics and leash manners\""""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-09 07:34:07.558865+00,2026-06-15 11:01:58.046015+00,"Picasso is a gentle, lovable 2-year-old Poodle mix who weighs 19 lbs. He was surrendered to a shelter with a fractured femur and has undergone surgery for it. Currently, he is healing in a cozy foster home and is expected to make a full recovery. Although he can be shy with new people, he is affectionate and enjoys receiving pets. Picasso is learning household basics and leash manners, and he will thrive with adopters who can provide him with the care and comfort he deserves.",Young (1-3yrs),Small (<25lbs),N/A,2026-06-15 08:01:50.581346+00
PACC-A897633,0d8adac90e79c5470f5c22c2b68fc5adb64979d569d76d717bfba264911df037,Bumper,3 yr,77 lbs,German Shepherd Dog Mix,Male,Pima Animal Care Center,Kennel D197,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A897633,"Bumper has been at the shelter since Apr 13, 2026 and is ready for adoption.","[""Bumper is a male German Shepherd Dog mix."",""He has been at the shelter since Apr 13, 2026."",""He is approximately 3 years old."",""He weighs 77 lbs.""]",[],[],"[""Bumper is gentle and sweet."",""He has plenty of puppy energy."",""He enjoys playing with other dogs.""]",[],"[""Bumper would like to meet any resident dogs before heading home.""]",[],Bumper enjoys playing with other dogs and should meet resident dogs before adoption.,"Bumper is friendly and enjoys being around people, as noted by a volunteer who described him as gentle and sweet.",N/A,N/A,"If you are interested in adopting this pet, visit us during regular business hours or email pacc.adopt@pima.gov for questions regarding the adoption process.","[""I am about 3 years old."",""I weigh approximately 77.50 lbs."",""I have been at the shelter since Apr 13, 2026 and ready for adoption!"",""I am a male, tan and white German Shepherd Dog mix.""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-08 23:03:59.71208+00,2026-06-13 08:32:31.832353+00,null,Young (1-3yrs),Large (60+lbs),Unaltered,2026-06-12 19:07:44.57661+00
MP-009808,00a74a81c88a8438a61443525dee1696bb0f54bcc70cddf4786bf1584df388cf,Mushu,"0 yr, 3 mo",20 lbs,Unknown,Male,Muddy Paws Rescue,"NYC, NY",https://www.muddypawsrescue.org/adoptable?dog=009808,Mushu is available for adoption through Muddy Paws Rescue. He is microchipped and has received all age-appropriate medical care.,"[""Microchipped"",""Up to date on all age-appropriate medical care""]",[],"[""Breed is unknown as no DNA test has been done."",""Behavior with other dogs is unknown.""]","[""Playful"",""Friendly"",""Curious"",""Confident""]",[],"[""A loving family"",""Someone excited to learn and grow with him""]",[],Mushu is good with cats.,Mushu is friendly and playful with people.,Carefully managed walking status is advised.,He is up to date on all age-appropriate medical care.,Interested adopters should begin the registration process at www.muddypawsrescue.org.,"[""Mushu is the sweetest little jumping bean!"",""He loves hopping around, exploring, and making everyone laugh."",""Mushu is approximately 0y 2m 23d old and may be 45 to 55 pounds when fully grown."",""They are microchipped and up to date on all age-appropriate medical care.""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-15 00:30:54.381103+00,2026-06-15 00:30:54.381103+00,"Mushu is a playful and friendly puppy who loves to explore and make everyone laugh. He is curious and confident, with a sweet side that makes him easy to fall in love with. This little jumping bean is excited to learn and grow with his forever family. Mushu is microchipped and up to date on all age-appropriate medical care.",Puppy (<1yr),Medium (25-60lbs),Neutered,2026-06-15 00:00:50.818973+00
MP-009799,6bf878f0c788eb8382de05df9f536306201b7e3ab7eb72e7481d7b1fef4fb206,Otto,1 yr,10 lbs,Unknown,Male,Muddy Paws Rescue,NYC,https://www.muddypawsrescue.org/adoptable?dog=009799,Otto is available for adoption through Muddy Paws Rescue. He has been cared for and is up to date on medical care.,"[""Otto is microchipped and up to date on all age-appropriate medical care."",""He is fully grown at 10 pounds."",""Otto gets along well with other dogs.""]",[],"[""Breed is unknown as a DNA test has not been done.""]","[""Friendly and loving"",""Playful and outgoing"",""Cuddly and enjoys being with people"",""Good with other dogs"",""Smart and learning new things""]","[""Working on not chewing furniture""]","[""A home where he can be with people"",""A cozy space for his crate""]","[""Regular leash and martingale collar for walking""]",Otto gets along well with other dogs.,Otto is friendly and loving towards people.,He has been doing well alone and loves to be cozy in his crate.,Recovering from leg surgery and receives physical therapy stretches twice a day.,Interested adopters should begin the registration process at www.muddypawsrescue.org.,"[""Otto is such a friendly and loving dog."",""He is very playful and outgoing."",""He loves to move around and play with his toys."",""Otto is approximately 1y 2m 2d old and is fully grown at 10 pounds."",""They are microchipped and up to date on all age-appropriate medical care.""]",fact_v1,gpt-5.4-mini,"{""temperature"":0.2}",2026-06-12 00:30:14.997763+00,2026-06-15 00:31:03.434214+00,"Otto is a friendly and loving dog who enjoys playing and being cuddly with his people. He is recovering from leg surgery but is doing well, including physical therapy stretches twice a day. Otto gets along well with other dogs and is learning not to chew furniture. He is microchipped and up to date on all age-appropriate medical care.",Young (1-3yrs),Small (<25lbs),Neutered,2026-06-15 00:01:01.515744+00
