animal_id,weight,age,more_info,bio,image_file,image_public_url,record_hash,created_at,updated_at,last_scrape_run_id,raw_data_jsonb,shelter_profile_url,shelter_name,shelter_image_url,city,state,shelter_id,bio_length,name,gender
NYCACC-248500,77 lbs,8 Years,,"Name: Maya | Native ID: 248500 | Species: Dog | Gender: Female | Location: In Foster | Room: ε Small Garage | Intake Date: 2026-06-05 | Days in Care: 11 | ACC Feed Updated: 2026-06-15T19:30:54.862344Z | YouTube IDs: RAKgUkKU018 | Photo Count: 5 | Bio/Summary: What my friends at ACC say about me: I can go home today! I lived with children in my previous home. I am a sweet, social, older gentleman, looking for the perfect forever home! I will need daily physical activity to keep me healthy and happy!",animals/NYCACC-248500.jpg,https://yiqiotjoyiedrwznmhgh.supabase.co/storage/v1/object/public/animal-images/animals/NYCACC-248500.jpg,15f84c73d7c82352523cf600f788ec7a945470e0d121a3e64039b8d947cd7b93,2026-06-09 16:21:42.432689+00,2026-06-15 19:34:05.088614+00,1718,null,https://nycacc.app/#/browse/248500,Animal Care Centers of NYC,https://nycacc.shelterbuddy.com/storage/image/833963fd70b141cfa7742fbba104f8c7-1781057522-1781057547-jpg/512---n,NYC,NY,NYCACC,503,Maya,Female
PACC-A899395,I weigh approximately 61.50 lbs.,The shelter staff think I am about 2 years and 1 month old.,"I have been at the shelter since May 02, 2026 and am ready to go home today!
I am in Kennel DOGISO 69.
If you are interested in adopting this pet, visit us during
regular business hours
. 
	Please email
pacc.adopt@pima.gov
for any questions regarding the adoption process.
If you believe this is your lost pet, come down during regular business hours to reclaim or email
pacclostandfound@pima.gov
with any questions.","My name is Lisa Frank*.
I am a spayed female, black and white Pit Bull Terrier.",animals/PACC-A899395.jpg,https://yiqiotjoyiedrwznmhgh.supabase.co/storage/v1/object/public/animal-images/animals/PACC-A899395.jpg,a7a0431331e044258be7f8d5c35f1912c4f5bfb2702ddb20d60a1a41686934a2,2026-05-07 08:01:37.192711+00,2026-06-15 21:05:50.014236+00,1726,null,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A899395,Pima Animal Care Center,https://24Petconnect.com/image/698081726,Tucson,AZ,PACC,79,Lisa Frank,Spayed Female
PACC-A902671,null,The shelter staff think I am about 15 weeks old.,"I have been at the shelter since Jun 07, 2026.","My name is Eeeney*.
I am a neutered male, brown Labrador Retriever mix.",animals/PACC-A902671.jpg,https://yiqiotjoyiedrwznmhgh.supabase.co/storage/v1/object/public/animal-images/animals/PACC-A902671.jpg,3c8645b18f1ba4db759a367c10e00226f694b58af572b94883eeefc56a50a2b0,2026-06-13 08:49:13.029566+00,2026-06-15 16:05:09.989199+00,1705,null,https://24petconnect.com/PimaAdoptablePets/Details/PIMA2/A902671,Pima Animal Care Center,https://24Petconnect.com/image/697561896,Tucson,AZ,PACC,71,Eeeney,Neutered Male
PACC-A897551,I weigh approximately 93.00 lbs.,The shelter staff think I am about 10 years old.,"I have been at the shelter since Apr 12, 2026 and am ready to go home today!
I am in Kennel D130.
If you are interested in adopting this pet, visit us during
regular business hours
. 
	Please email
pacc.adopt@pima.gov
for any questions regarding the adoption process.
If you believe this is your lost pet, come down during regular business hours to reclaim or email
pacclostandfound@pima.gov
with any questions.","My name is Jasper.
I am a neutered male, gray and white Pit Bull Terrier.",animals/PACC-A897551.jpg,https://yiqiotjoyiedrwznmhgh.supabase.co/storage/v1/object/public/animal-images/animals/PACC-A897551.jpg,6b83674e313f61ce5a0b9b5bfadb50781f9b424e6f8c8e73d9edb597d1c533cb,2026-04-30 12:00:39.58856+00,2026-06-15 20:06:37.418382+00,1723,null,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A897551,Pima Animal Care Center,https://24Petconnect.com/image/697987847,Tucson,AZ,PACC,73,Jasper,Neutered Male
PACC-A892381,I weigh approximately 57.00 lbs.,The shelter staff think I am about 3 years old.,"I have been at the shelter since Feb 10, 2026 and am ready to go home today!
I am in Kennel DOGISO 47.
If you are interested in adopting this pet, visit us during
regular business hours
. 
	Please email
pacc.adopt@pima.gov
for any questions regarding the adoption process.
If you believe this is your lost pet, come down during regular business hours to reclaim or email
pacclostandfound@pima.gov
with any questions.","My name is Monster.
I am a neutered male, brown German Shepherd Dog and Chow Chow.",animals/PACC-A892381.jpg,https://yiqiotjoyiedrwznmhgh.supabase.co/storage/v1/object/public/animal-images/animals/PACC-A892381.jpg,bd51705c457192a67de9c9b9e0d063626d01a01a0dfcaaccfba95631dc50e480,2026-06-15 08:05:28.380654+00,2026-06-15 18:05:14.727916+00,1711,null,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A892381,Pima Animal Care Center,https://24Petconnect.com/image/698086528,Tucson,AZ,PACC,82,Monster,Neutered Male
PACC-A900511,I weigh approximately 56.00 lbs.,The shelter staff think I am about 4 years old.,"I have been at the shelter since May 16, 2026 and ready for adoption!
I am in Kennel DOGISO 50.
If you are interested in adopting this pet, visit us during
regular business hours
. 
	Please email
pacc.adopt@pima.gov
for any questions regarding the adoption process.
If you believe this is your lost pet, come down during regular business hours to reclaim or email
pacclostandfound@pima.gov
with any questions.","My name is Chimera*.
I am a male, tricolor Shetland Sheepdog mix.",animals/PACC-A900511.jpg,https://yiqiotjoyiedrwznmhgh.supabase.co/storage/v1/object/public/animal-images/animals/PACC-A900511.jpg,cf49ea07da260ce23cb40c101b67906377d98cc58f3845ee1b7cb3d22dd4facc,2026-05-22 09:00:50.209021+00,2026-06-15 21:07:01.842088+00,1726,null,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A900511,Pima Animal Care Center,https://24Petconnect.com/image/698059707,Tucson,AZ,PACC,65,Chimera,Unaltered Male
PACC-A900399,I weigh approximately 62.00 lbs.,The shelter staff think I am about 2 years and 1 month old.,"I have been at the shelter since May 14, 2026 and ready for adoption!
I am in Kennel DOGISO 44.
If you are interested in adopting this pet, visit us during
regular business hours
. 
	Please email
pacc.adopt@pima.gov
for any questions regarding the adoption process.
If you believe this is your lost pet, come down during regular business hours to reclaim or email
pacclostandfound@pima.gov
with any questions.","My name is Plum*.
I am a female, brown brindle Pit Bull Terrier.",animals/PACC-A900399.jpg,https://yiqiotjoyiedrwznmhgh.supabase.co/storage/v1/object/public/animal-images/animals/PACC-A900399.jpg,69a6a2836c0043e278275826f4fc0e6ed3a6d077c51315d54d911523e0fc2c17,2026-06-15 08:05:42.691555+00,2026-06-15 18:05:30.268662+00,1711,null,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A900399,Pima Animal Care Center,https://24Petconnect.com/image/698059706,Tucson,AZ,PACC,64,Plum,Unaltered Female
PACC-A899958,I weigh approximately 83.50 lbs.,The shelter staff think I am about 4 years old.,"I have been at the shelter since May 09, 2026 and am ready to go home today!
I am currently in foster care but am available for adoption! If you are interested in adopting me, please email
PACC.AdoptAFoster@pima.gov
If you are interested in adopting this pet, visit us during
regular business hours
. 
	Please email
pacc.adopt@pima.gov
for any questions regarding the adoption process.
If you believe this is your lost pet, come down during regular business hours to reclaim or email
pacclostandfound@pima.gov
with any questions.","Currently In Foster
My name is Yucca*.
I am a spayed female, yellow brindle Pit Bull Terrier mix.",animals/PACC-A899958.jpg,https://yiqiotjoyiedrwznmhgh.supabase.co/storage/v1/object/public/animal-images/animals/PACC-A899958.jpg,14a60061d835da1f5712704b64bd921157cea94cebe5ef5d8a76a2a440c5dc9d,2026-05-16 08:01:22.241088+00,2026-06-15 21:06:25.946242+00,1726,null,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A899958,Pima Animal Care Center,https://24Petconnect.com/image/698108302,Tucson,AZ,PACC,97,Yucca,Spayed Female
AHSCN-48349364,–,"< 1 month old, Puppy","Shelter: Associated Humane Societies - Newark

Adoption process:
Individuals wishing to adopt an animal from our shelter must complete an adoption application and provide proof of home ownership or, if you are a renter, you must provide a copy of your lease or a notarized letter from your landlord stating pets are permitted. You must be at least 21 years of age to adopt any animal from our shelter. We reserve the right to refuse any adoption. In some instances, a home visit may be required. Our fees vary depending on the age and breed of the animal. Typically, a mix breed is $110.00 and a purebreed is $150.00 and up. There is also an altering charge of $85.00 for a male and $95.00 for a female. All animals receive vaccines, microchip identification, frontline treatments.","Name: Scout

Basic info:
Breed: Wheaten Terrier
Color: Brown/Chocolate
Age: < 1 month old, Puppy
Size: –
Weight: –
Sex: Male
Pet ID: 120452",null,https://yiqiotjoyiedrwznmhgh.supabase.co/storage/v1/object/public/animal-images/animals/AHSCN-48349364.jpg,cefe817366cb97f011450696ec3f91e59d5afc421145d0dedc1b667afc28c9c9,2026-06-15 04:45:53+00,2026-06-15 04:45:53+00,null,null,https://www.adoptapet.com/pet/48349364-newark-new-jersey-wheaten-terrier-mix,Associated Humane Societies - Newark,https://pet-uploads.adoptapet.com/6/9/0/1312803773.jpg,Newark,NJ,AHSCN,139,Scout,Male
HHS-20622,null,,,"Item 1 of 5
Oscar
ANIMAL ID
HHTX-A-20622
BREED
Carolina Dog
SEX
Male
WEIGHT
57 lbs
AGE
4Y/4M/0W
LOCATION
Foster Home
ADOPTION FEE
$25.00
INTAKE DATE
2/11/2026
Apply for Adoption
Donate
ATTRIBUTES

Good with Dogs
Good with Kids
House broken
This fun loving goofball's name is Oscar. When he isn't curled up taking a long nap he is finding his next adventure. He equally loves to get belly rubs and run outside. He is expressive with his paws and body during playtime. He'll match your energy up until your both running around acting crazy together.

He needs a high energy family or someone with plenty of property for him to explore. If he's left alone too long in a confined space, he gets bored and ends up in a little mischief. But if he can run free and explore he's sure to be the perfect dog.

Meet Oscar and you'll understand how he will be the funniest, friendliest, and wonderful dog you've ever had.",animals/HHS-20622.jpg,https://yiqiotjoyiedrwznmhgh.supabase.co/storage/v1/object/public/animal-images/animals/HHS-20622.jpg,ce722fe4de0cd742234c20963e171e17d5d96426753ea003ffd3ca33fd18a78a,2026-06-12 06:57:00.862104+00,2026-06-15 14:47:08.627935+00,1699,null,https://new.shelterluv.com/embed/animal/HHTX-A-20622,Houston Humane Society,https://new-s3.shelterluv.com/profile-pictures/251fc790659dfc3ee5573083da07c66f/f03c4fa825f21eb2240f51e2e5c4a5bc.jpg,Houston,TX,HHS,909,Oscar,
